designation	id_text	museum_no	collection	excavation_no	provenience	period	primary_publication	author	publication_date	publication_history	Cohen_balag	Delnero_no	Delnero_subgenre_no	Delnero_remarks	material	object_type	language	sub_genre	accession_no	cdli_comments	atf_source	date_remarks	cdli_collation	electronic_publication
CT 44, 12	P345521	BM 078175	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 44, 12	Sollberger, Edmond	1963	M. Cohen, CLAM (1988: 47 = Source A)	B01 abzu pelam	053	Balag Enki (274)		clay	tablet			1888-05-12 Bu, 0004		no atf			
TLB 02, 06	P345845	LB 1823	de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland			Old Babylonian	TLB 2, 6 o. ii 14 - r. iii 13	van Dijk, Johannes J. A.	1957	U. Gabbay, HES 2 (2015: 304–309 = Text III)	B02 uru ašera	485	Balag Enlil (266)		clay	tablet					no atf			
CT 42, 08 BM 088288	P283778	BM 088288	British Museum, London, UK			Old Babylonian	CT 42, 8 = pl. 18-19	Figulla, Hugo H.	1959	M. Cohen, CLAM (1988: 73 = Source A); U. Gabbay, HES 2 (2015: 328–30 = Source C)	B03 e turgin niginam	072	Balag Enki (275)		clay	tablet	Sumerian				no atf			
PBS 01/1, 08	P266508	CBS 11359	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	PBS 1/1, 8	Myhrman, David W.	1911	A. Löhnert, AOAT 365 (2009: 163–65 = Source N2)	B04 utugin eta	286	Balag Enlil (215)		clay	tablet	Sumerian				no atf			
VS 02, 010	P342818	VAT 01438 + VAT 01529 + VAT 01530	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 010	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 112 = Source S10)	B04 utugin eta	149	Balag Enlil (221)		clay	tablet					no atf			
VS 02, 007 +	P342815	VAT 01337 + VAT 1363 (+) VAT 01567				Old Babylonian	VS 02, 007 + VS 02, 013			A. Löhnert, AOAT 365 (2009: 122 = Source S6)	B04 utugin eta	110	Balag Enlil (212)											
VS 02, 005 +	P342813	VAT 01338 + VAT 01406 + VAT 02164 (+) VAT 03702				Old Babylonian	VS 02, 005 + VS 10, 127			A. Löhnert, AOAT 365 (2009: 112 = Source S7)	B04 utugin eta	111	Balag Enlil (213)											
VS 02, 017	P342825	VAT 01346	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 017	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 125 = Source S9); Matini, Lobpreis (2014: 34); Adrian Heinrich, AoF 49 (2022: 69-73)	B05 udam ki amus	115	Balag Enlil (241)		clay	tablet					no atf			
VS 02, 024	P342832	VAT 01566	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 024	Zimmern, Heinrich	1912	M. Cohen, CLAM (1988: 120 = Source B); Matini, Lobpreis (2014: 34)	B05 udam ki amus	170	Balag Enlil (245)		clay	tablet					no atf			
VS 10, 102	P342910	VAT 03421 + VAT 03432	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 102	Zimmern, Heinrich	1913	A. Löhnert, AOAT 365 (2009: 139–40 with n. 497 = Source S13); Matini, Lobpreis (2014: 37)	B05 udam ki amus	176	Balag Enlil (246)		clay	tablet					no atf			
VS 10, 108	P342916	VAT 03567 + VAT 03582	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 108	Zimmern, Heinrich	1913	M. Cohen, CLAM (1988: 120 = Source D)	B05 udam ki amus	205	Balag Enlil (250)		clay	tablet					no atf			
VS 10, 107	P342915	VAT 03471	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 107	Zimmern, Heinrich	1913	M. Cohen, CLAM (1988: 152 = Source A)	B06 ame amašana	184	Balag Enlil (231)		clay	tablet					no atf			
CLAM 822-4	P355671	YBC 16392	Yale Babylonian Collection, New Haven, Connecticut, USA		uncertain	Old Babylonian	Cohen 1988, 822-24	Cohen, Mark E.	1988	M. Cohen, CLAM (1988: 186 = Source A)	B08 enemani ilu ilu	009	Balag Enlil (208)		clay	tablet	Sumerian				no atf			
VS 02, 033	P342841	VAT 01347	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 033	Zimmern, Heinrich	1912	M. Cohen, CLAM (1988: 253 = Source K)	B11p uruhulake (Gula)	116	Balag NG (174)		clay	tablet					no atf			
VS 02, 012 +	P342820	VAT 01334 (+) CBS 00497 (+) VAT 01357				Old Babylonian	VS 02, 012 + PBS 10/2, 12 + VS 02, 016			A. Löhnert, AOAT 365 (2009: 138–39 = Source S3); M. Cohen, CLAM (1988: 258-260; 264-269); J. Krecher, Kultlyrik (1966: 199).	B11p uruhulake (Gula)	108	Balag NG (220)											
N 2983	P278047	N 2983	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd	M. Cohen, CLAM (1988: 272 = Source E)	B12 elum gusun	306	Balag Enlil (224)		clay	tablet	Akkadian				no atf			
PBS 10/2, 13	P257677	CBS 00112	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian	PBS 10/2, 13	Langdon, Stephen H.	1917	E. Bergmann, ZA 56 (1964: 13–43); A. Löhnert, AOAT 365 (2009: 390 = Source N1)	B12 elum gusun	256	Balag Enlil (232)		clay	tablet	Sumerian				no atf			
PRAK C 072	P344946	AO 10688	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 072	Genouillac, Henri de	1925	Bowen PSK 525	B12 elum gusun	442	Balag Enlil (237)		clay	tablet					no atf			
RA 016, 208	P290067	NBC 01315	Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	RA 16, 208	Langdon, Stephen H.	1919	U. Gabbay, HES 2 (2015: 286–94 = Text II); M. Cohen, CLAM (1988: 272-298); M. Cohen, Hymnology (1981: 135)	B12 elum gusun	002	Balag Enlil (205)		clay	tablet	Sumerian				no atf			
VS 02, 011	P342819	VAT 00607 (+) AO 03924				Old Babylonian	VS 02, 011 (+) TCL 015, 02			A. Löhnert, AOAT 365 (2009: 152); M. Cohen, CLAM (1988: 266-267)	B12 elum gusun	097	Balag Enlil (211)											
ISET 1 146 (pl.88) 146, Ni 4357	P355667	Ist Ni 04357	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	ISET 1, 146	Kramer, Samuel N., Çig, Muazzez & Kizilyay, Hatice	1969	M. Cohen, CLAM (1988: 319 = Source A)	B13 ame baraanara	354	Balag Enlil (234)		clay	tablet	Sumerian				no atf			
